"x","y"
2.65061464358831,2.87638003950984
2.71432435448951,2.87091846301257
2.77803406539071,2.88907571545034
2.8417437762919,2.90802154862227
2.9054534871931,2.93166839253362
2.9691631980943,2.97857176002949
3.03287290899549,3.08558834032232
3.09658261989669,3.10869869012816
3.16029233079789,3.20224077082612
3.22400204169908,3.21363677654401
3.28771175260028,3.22361044634614
3.35142146350148,3.28947370397064
3.41513117440268,3.3421723357379
3.47884088530387,3.34972263227972
3.54255059620507,3.35956330380035
3.60626030710627,3.36903943116545
3.66997001800746,3.36929227338188
3.73367972890866,3.36938708616962
3.79738943980986,3.36938708616962
3.86109915071105,3.36938708616962
