"x","y"
216.97,3.08982806826424
324.191052631579,3.08988335356917
431.412105263158,3.08595353473022
538.633157894737,3.10362909637296
645.854210526316,3.1166764358598
753.075263157895,3.14162584630763
860.296315789474,3.21699961655958
967.517368421053,3.22697778966427
1074.73842105263,3.24835206954772
1181.95947368421,3.26610095492596
1289.18052631579,3.28247843301152
1396.40157894737,3.2822597473679
1503.62263157895,3.28234119620595
1610.84368421053,3.28234119620595
1718.06473684211,3.28254524460274
1825.28578947368,3.28255121863605
1932.50684210526,3.28255121863605
2039.72789473684,3.28255121863605
2146.94894736842,3.28255121863605
2254.17,3.28255121863605
